time,Temp,DAC,current 
1743191049.950,19.9232,6226,96.77
1743191050.079,19.9265,6226,73.31
1743191050.206,19.9149,6226,92.86
1743191050.334,19.9230,6226,94.82
1743191050.463,19.9127,6226,75.27
1743191050.591,19.9240,6226,79.18
1743191050.718,19.9157,6226,90.91
1743191050.846,19.9157,6226,75.27
1743191050.970,19.9145,6226,83.09
1743191051.103,19.9128,6226,77.22
1743191051.246,19.9190,6226,92.86
1743191051.373,19.9174,6226,98.73
1743191051.502,19.9141,6226,79.18
1743191051.630,19.9219,6226,85.04
1743191051.758,19.9166,6226,81.13
1743191051.886,19.9194,6226,73.31
1743191052.014,19.9210,6226,79.18
1743191052.142,19.9220,6226,75.27
1743191052.285,19.9168,6226,73.31
1743191052.413,19.9225,6226,92.86
1743191052.541,19.9127,6226,73.31
1743191052.670,19.9124,6226,83.09
1743191052.797,19.9205,6226,98.73
1743191052.925,19.9188,6226,75.27
1743191053.053,19.9149,6226,94.82
1743191053.181,19.9195,6226,79.18
1743191053.309,19.9185,6226,87.00
1743191053.454,19.9171,6226,75.27
1743191053.568,19.9209,6226,98.73
1743191053.709,19.9151,6226,73.31
1743191053.837,19.9153,6226,77.22
1743191053.965,19.9142,6226,96.77
1743191054.093,19.9114,6226,77.22
1743191054.221,19.9103,6226,87.00
1743191054.349,19.9099,6226,98.73
1743191054.477,19.9112,6226,77.22
1743191054.617,19.9078,6226,96.77
1743191054.745,19.9080,6226,87.00
1743191054.877,19.9054,6226,79.18
1743191055.005,19.9152,6226,81.13
1743191055.133,19.9162,6226,79.18
1743191055.261,19.9061,6226,88.95
1743191055.388,19.9174,6226,83.09
1743191055.517,19.9176,6226,79.18
1743191055.645,19.9110,6226,79.18
1743191055.789,19.9131,6226,79.18
1743191055.904,19.9089,6226,96.77
1743191056.045,19.9080,6226,75.27
1743191056.172,19.9161,6226,83.09
1743191056.301,19.9197,6226,90.91
1743191056.428,19.9069,6226,75.27
1743191056.556,19.9190,6226,77.22
1743191056.684,19.9141,6226,92.86
1743191056.812,19.9197,6226,94.82
1743191056.956,19.9149,6226,75.27
1743191057.084,19.9087,6226,79.18
1743191057.212,19.9082,6226,81.13
1743191057.340,19.9173,6226,73.31
1743191057.468,19.9179,6226,73.31
1743191057.596,19.9160,6226,73.31
1743191057.724,19.9078,6226,79.18
1743191057.852,19.9179,6226,96.77
1743191057.980,19.9048,6226,96.77
1743191058.121,19.9051,6226,73.31
1743191058.252,19.9189,6226,85.04
1743191058.380,19.9056,6226,79.18
1743191058.508,19.9145,6226,73.31
1743191058.636,19.9059,6226,75.27
1743191058.763,19.9114,6226,81.13
1743191058.892,19.9119,6226,79.18
1743191059.019,19.9055,6226,73.31
1743191059.139,19.9035,6226,88.95
1743191059.291,19.9131,6226,73.31
1743191059.420,19.9079,6226,85.04
1743191059.548,19.9132,6226,77.22
1743191059.676,19.9102,6226,75.27
1743191059.803,19.9128,6226,77.22
1743191059.932,19.9077,6226,96.77
1743191060.059,19.9120,6226,85.04
1743191060.187,19.9081,6226,79.18
1743191060.315,19.9113,6226,83.09
1743191060.459,19.9085,6226,73.31
1743191060.587,19.9077,6226,87.00
1743191060.715,19.9165,6226,79.18
1743191060.843,19.9163,6226,85.04
1743191060.971,19.9158,6226,94.82
1743191061.099,19.9171,6226,73.31
1743191061.226,19.9079,6226,75.27
1743191061.355,19.9001,6226,90.91
1743191061.483,19.9113,6226,73.31
1743191061.627,19.9122,6226,73.31
1743191061.755,19.9120,6226,73.31
1743191061.883,19.9106,6226,83.09
1743191062.011,19.9062,6226,88.95
1743191062.139,19.9136,6226,73.31
1743191062.267,19.9044,6226,90.91
1743191062.381,19.9104,6226,81.13
1743191062.522,19.9135,6226,81.13
1743191062.650,19.8994,6226,73.31
1743191062.794,19.9086,6226,98.73
1743191062.922,19.9073,6226,90.91
1743191063.050,19.9114,6226,83.09
1743191063.178,19.9118,6226,98.73
1743191063.306,19.9055,6226,94.82
1743191063.426,19.9074,6226,73.31
1743191063.562,19.9038,6226,79.18
1743191063.690,19.9029,6226,92.86
1743191063.818,19.9029,6226,81.13
1743191063.962,19.9030,6226,77.22
1743191064.090,19.9092,6226,90.91
1743191064.218,19.9090,6226,73.31
1743191064.346,19.9002,6226,85.04
1743191064.472,19.9078,6226,87.00
1743191064.591,19.9013,6226,77.22
1743191064.729,19.9110,6226,92.86
1743191064.858,19.9106,6226,77.22
1743191064.985,19.9084,6226,81.13
1743191065.130,19.9066,6226,96.77
1743191065.257,19.9073,6226,88.95
1743191065.385,19.9068,6226,79.18
1743191065.513,19.9058,6226,90.91
1743191065.642,19.9053,6226,98.73
1743191065.769,19.9020,6226,98.73
1743191065.898,19.9048,6226,92.86
